S.No,Ellapsed,Time,Reading
202,3.585411834,11-36-43-5897,339
203,3.59771972,11-36-43-6020,338
204,3.605985213,11-36-43-6102,338
205,3.6182734,11-36-43-6225,338
206,3.626482441,11-36-43-6308,338
207,3.638776642,11-36-43-6430,337
208,3.646850564,11-36-43-6511,338
209,3.65514162,11-36-43-6594,337
210,3.667394613,11-36-43-6717,337
211,3.675609731,11-36-43-6799,336
212,3.687858802,11-36-43-6921,337
213,3.69609626,11-36-43-7004,336
214,3.708385209,11-36-43-7127,337
215,3.71657223,11-36-43-7209,336
216,3.728793106,11-36-43-7331,337
217,3.737017678,11-36-43-7413,336
218,3.745232102,11-36-43-7495,336
219,3.757545866,11-36-43-7618,335
220,3.765698716,11-36-43-7700,336
221,3.777924417,11-36-43-7822,335
222,3.786130719,11-36-43-7904,336
223,3.798452671,11-36-43-8027,334
224,3.806671735,11-36-43-8110,336
225,3.818921521,11-36-43-8232,334
226,3.827133218,11-36-43-8314,335
227,3.839443664,11-36-43-8437,334
228,3.847539863,11-36-43-8518,335
229,3.859839338,11-36-43-8641,333
230,3.868109132,11-36-43-8724,334
231,3.876251882,11-36-43-8805,333
232,3.888554717,11-36-43-8928,334
233,3.896800932,11-36-43-9011,332
234,3.908989247,11-36-43-9133,334
235,3.917559934,11-36-43-9218,332
236,3.929500365,11-36-43-9338,334
237,3.937796705,11-36-43-9421,332
238,3.950178229,11-36-43-9545,333
239,3.958310613,11-36-43-9626,331
240,3.970622579,11-36-43-9749,333
241,3.978671723,11-36-43-9829,331
242,3.990918283,11-36-43-9952,333
243,3.999295378,11-36-44-0036,331
244,4.007300443,11-36-44-0116,332
245,4.019685211,11-36-44-0240,330
246,4.027793861,11-36-44-0321,332
247,4.040127531,11-36-44-0444,330
248,4.048487743,11-36-44-0528,332
249,4.0605902,11-36-44-0649,330
250,4.068886747,11-36-44-0732,332
251,4.081133718,11-36-44-0854,329
252,4.089332179,11-36-44-0936,331
253,4.101687464,11-36-44-1059,329
254,4.109774501,11-36-44-1141,331
255,4.11826944,11-36-44-1225,329
256,4.13030182,11-36-44-1346,331
257,4.138467236,11-36-44-1427,328
258,4.151010014,11-36-44-1553,330
259,4.15887602,11-36-44-1632,328
260,4.171269375,11-36-44-1755,330
261,4.179343928,11-36-44-1836,328
262,4.191593611,11-36-44-1959,330
263,4.199912721,11-36-44-2042,327
264,4.20798689,11-36-44-2123,329
265,4.220439316,11-36-44-2247,327
266,4.228486333,11-36-44-2328,329
267,4.240825388,11-36-44-2451,327
268,4.248985003,11-36-44-2533,329
269,4.261243815,11-36-44-2655,327
270,4.269471192,11-36-44-2737,329
271,4.281729299,11-36-44-2860,326
272,4.289958586,11-36-44-2942,328
273,4.302173928,11-36-44-3064,326
274,4.310421472,11-36-44-3147,328
275,4.322735624,11-36-44-3270,326
276,4.331047032,11-36-44-3353,328
277,4.339110522,11-36-44-3434,325
278,4.351659138,11-36-44-3559,328
279,4.359644439,11-36-44-3639,325
280,4.37192308,11-36-44-3762,327
281,4.380025346,11-36-44-3843,325
282,4.392343526,11-36-44-3966,327
283,4.400813744,11-36-44-4051,325
284,4.412862551,11-36-44-4171,327
285,4.421166842,11-36-44-4254,324
286,4.429188067,11-36-44-4335,327
287,4.441535291,11-36-44-4458,324
288,4.449888898,11-36-44-4541,326
